topic_index,keywords
12,"{'game': 178.96945860991445, 'just': 167.24448377255578, 'campaign': 114.30313328582481, 'like': 91.85735128560812, 'narrator': 66.25683439746676, 'games': 63.1639365879401, 'really': 57.87598871132089, 'need': 50.111843043557116, 'main': 47.50117724829009, 'play': 43.430678520906774}"
13,"{'id': 194.99611050159348, 'sharedfiles': 73.3925124121012, 'filedetails': 73.33250003356254, 'steamcommunity': 61.388431111942076, 'like': 41.10056838123367, 'com': 40.451810619936744, 'welcome': 28.184507465384634, 'https': 27.064933445018877, 'eat': 24.468823096146096, 'farm': 23.679233761833167}"
14,"{'story': 2201.274684963394, 'puzzles': 1446.1279274375563, 'game': 1444.009454586233, 'characters': 999.3958892964978, 'world': 962.1288240829882, 'adventure': 924.96159518667, 'games': 871.6394707831771, 'point': 724.2738713289775, 'great': 721.4991893841346, 'primordia': 654.3105093276589}"
15,"{'game': 682.442778701801, 'boring': 637.8828747525455, 'survival': 437.5547077490919, 'multiplayer': 417.32083834547177, 'mods': 271.0964938182976, 'blocks': 232.37219006671876, 'just': 209.8063700487401, 'building': 157.7509550989166, 'player': 149.41731669947723, 'engineers': 141.76749554114866}"
16,"{'good': 3625.6584635612007, 'game': 1800.550457120127, 'just': 383.90929584058074, 'really': 352.2535392297604, 'pretty': 350.80051334006595, 'like': 281.83100573930903, 'hours': 131.3015309882786, 'play': 121.66560430892389, 'fun': 120.61702864608475, 'time': 111.88810420902607}"
17,"{'game': 51.479633560697145, 'replayability': 45.93637490204977, 'hacking': 45.06648390163321, 'ruined': 42.30868307593428, 'white': 36.73262108979922, 'ghost': 32.78202309596545, 'oldschool': 26.989693335154527, 'nightmare': 23.099183248553004, 'cloud': 22.183252131825416, 'uplink': 19.982533326852842}"
18,"{'game': 96.0017432713251, 'memory': 55.419033076062455, 'games': 30.693306217051692, 'time': 25.183342791111993, 'like': 21.538684797059805, 'ram': 21.024209901404213, 'performance': 18.32083799605343, 'allot': 17.948242861186905, 'но': 17.519788333078093, 'really': 17.42130715352382}"
19,"{'game': 85.62249503725685, 'die': 54.105807602708424, 'good': 48.83092013772179, 'gnome': 45.00999999998555, 'isaac': 41.776637447686916, 'like': 39.61621339598082, 'und': 38.91643116784331, 'use': 38.204827690267535, 'key': 37.365679164748435, 'chinese': 37.224776216231724}"
20,"{'game': 245.2247242190526, 'like': 69.26688330339357, 'hours': 62.44561959817433, 'just': 54.95492466865137, 'games': 50.241927525293534, 'stick': 37.70089006298958, 'time': 35.601610347250386, 'think': 30.205384503873134, 'way': 28.14434735451046, 'graphics': 27.68548255447385}"
21,"{'controls': 861.2306714626486, 'controller': 565.0362446021511, 'game': 464.3737792500897, 'support': 463.1606406835722, 'work': 319.92489830382124, 'keyboard': 286.30409294119386, 'menu': 222.16518097283426, 'use': 200.56024520524952, 'sucks': 194.98708930703265, 'xbox': 157.60894934734316}"
22,"{'game': 350.8471520583845, 'like': 206.1836236167179, 'time': 123.14507833625518, 'just': 111.55975705229635, 'mouse': 102.48813051133791, 'enemy': 99.12447315781738, 'really': 98.41156304617412, 'camera': 79.97286739708983, 'bad': 71.96919860873784, 'right': 65.11576636131713}"
23,"{'drone': 281.9505687939435, 'fly': 254.6997497350817, 'flying': 211.2922718584548, 'mission': 170.40886748942293, 'drones': 152.56431868357487, 'real': 113.58169369402705, 'sim': 101.56207934073565, 'training': 95.62693176393965, 'simulator': 95.2264388371818, 'learn': 84.67379442554227}"
24,"{'game': 190.6405824646968, 'like': 176.0612892084921, 'just': 151.0839031995729, 'villagers': 135.2878761603113, 'combat': 109.28914966079323, 'items': 91.06146115548623, 'don': 87.75165710199019, 'make': 86.19719612703274, 'need': 78.70121365490981, 'really': 72.9319891417039}"
25,"{'game': 199.8972029257526, 'time': 64.66459949586265, 'just': 64.55580828040502, 'money': 38.95732455601692, 'better': 32.42246249845595, 'really': 28.35574522869659, 'games': 28.296431760942802, 'fun': 26.406460388164373, 'like': 25.27109944356378, 'end': 24.228744370481685}"
26,"{'game': 2080.0658672912286, 'build': 1042.0374651147488, 'building': 918.4132094614079, 'base': 814.1854534983257, 'just': 792.2857971900567, 'like': 739.4219200570823, 'ai': 665.4495275295299, 'food': 545.9318721385779, 'make': 467.74065164693184, 'need': 447.32849443602885}"
27,"{'doesnt': 268.4085218599343, 'game': 208.1615897831581, 'awful': 195.6405269548354, 'like': 153.58365746137596, 'dayz': 139.74498601858144, 'mac': 87.83621896470572, 'freezes': 87.31504994194364, 'better': 84.47412478805066, 'expected': 73.14974061916523, 'scum': 71.92977022018664}"
28,"{'units': 349.4001533038414, 'cons': 269.2813746844006, 'pros': 245.79510296060798, 'unit': 198.72811210856096, 'game': 126.68611010756486, 'rts': 96.09375537738025, 'engaging': 71.1951562582061, 'story': 46.78956231114639, 'play': 41.57573958069705, 'fun': 38.205307328319144}"
29,"{'game': 1033.7802596360189, 'fun': 1024.8045407050545, 'quest': 440.40551125740717, 'adventure': 296.0819145864602, 'just': 183.03175333685797, 'games': 180.22204467992614, 'gaijin': 177.87436574869378, '3d': 168.57338191975853, 'playing': 167.46472076985114, 'played': 161.4300466148201}"
30,"{'game': 1149.3620436476872, 'space': 639.8816053797865, 'elite': 543.8599597941285, 'like': 343.0366291147715, 'dangerous': 328.58254413775455, 'ship': 281.03328776429186, 'star': 270.90271676435606, 'hours': 259.20888136955364, 'play': 250.1024309380053, 'want': 235.2063399581297}"
31,"{'game': 1912.1803968157053, 'like': 875.8925588389254, 'enemies': 845.0042149686219, 'weapons': 669.1494157457078, 'level': 649.0993379162526, 'just': 467.05200233462796, 'enemy': 461.7718855485502, 'levels': 460.2899950478566, 'don': 373.25949165618, 'combat': 366.05622011849135}"
32,"{'click': 1100.072522168286, 'point': 968.142088735528, 'game': 390.82668019718113, 'adventure': 300.6908072412056, 'games': 238.821048326668, 'fi': 160.28536029340708, 'sci': 158.92301577711845, 'motion': 152.8393216603818, 'classic': 149.9012346771252, 'style': 122.72267129073201}"
33,"{'game': 912.8317085134901, 'time': 116.54907575505476, 'just': 114.0929137415459, 'way': 106.70645453814566, 'power': 98.45358957912579, 'like': 86.13645159260878, 'games': 78.06820393675895, 'world': 65.59113256520483, 'things': 63.73464864820958, 'sidekick': 62.22839346638765}"
34,"{'dungeon': 1166.3922321112461, 'keeper': 800.2004231724965, 'game': 681.8465310662076, 'like': 269.6822097361454, 'series': 235.8233653155072, 'games': 189.90114917084068, 'campaign': 156.4767416211464, 'fun': 130.94701402456346, 'relaxing': 129.63262506661863, 'old': 128.89927920290359}"
35,"{'great': 3775.723724161694, 'game': 3124.767433206417, 'love': 758.5457086775685, 'fun': 455.19866063346547, 'wait': 407.00291866346674, 'content': 277.71415144938527, 'new': 269.9274934874385, 'fantastic': 243.02576949575862, 'really': 232.81601336383247, 'community': 229.29633848506407}"
36,"{'game': 1038.042671400487, 'time': 364.7442246016097, 'player': 326.6769504522132, 'like': 282.22495971776567, 'just': 251.41775221139318, 'players': 200.2007536718394, 'good': 180.96434143413703, 'different': 163.12070609387288, 'don': 161.4847187552493, 'way': 158.65451154638606}"
37,"{'game': 3222.2304862353676, 'play': 1446.307064579559, 'fun': 1346.2437654136797, 'friends': 710.5882936981826, 'like': 546.1014775964054, 'really': 484.95477556876943, 'playing': 401.0450855411068, 'people': 392.3560035554926, 'pvp': 299.53316233625145, 'players': 291.707645316446}"
38,"{'cute': 149.51102181697908, 'lag': 119.30122878362815, 'buy': 90.27499428258213, 'language': 87.99354853463593, 'game': 83.12870361107224, 'english': 79.54812319560736, 'accounts': 55.729957592979595, 'loop': 47.765910700180065, 'night': 35.37057322834061, 'platformer': 35.13370389842463}"
39,"{'yes': 743.7366104494026, 'shit': 603.1181517276094, 'ok': 424.0986179622047, 'game': 251.13632092598402, 'updating': 72.75469842657057, 'lags': 59.08484153109286, 'good': 50.18551353009125, 'tower': 47.883945610069176, 'disconnects': 41.26597813980566, 'specs': 39.03792613832948}"
40,"{'game': 4225.386765706837, 'review': 991.7339887338652, 'bugs': 782.7422306818928, 'devs': 750.9426758010045, 'update': 634.8283408940965, 'release': 620.3184955301026, 'just': 583.6405235110984, 'recommend': 558.8793765410677, 'time': 537.178033923491, 'state': 492.5567221460156}"
41,"{'strike': 112.42159288658569, 'just': 78.90711298604226, 'inventory': 77.68672170896036, 'things': 73.29014356537206, 'game': 72.05482559743055, 'time': 56.76489952262559, 'like': 44.59678793616269, 'item': 33.799508723331876, 'way': 33.58408984334948, 'kill': 30.607422076413133}"
42,"{'crashed': 127.77867682105898, 'game': 101.4662977897396, 'depth': 99.84584927094613, 'promising': 84.24878353258686, 'updates': 73.32463815836691, 'pass': 61.05131815950374, 'like': 57.364042886702954, 'desktop': 57.22128346322125, 'bugs': 57.100923685846375, 'data': 52.70933304763423}"
43,"{'recommended': 466.7240652714638, 'highly': 365.94836119471626, '2d': 112.67848158370353, 'game': 91.32299521894441, 'enjoyable': 77.54499057928724, 'older': 67.69139690270318, 'kid': 62.52558553486859, 'memories': 52.01292994524466, 'brings': 46.318082433073066, 'fun': 37.42569709712533}"
44,"{'game': 116.65052906764797, 'games': 62.99504926762221, 'play': 46.82667188276688, 'time': 46.28815415142019, 'like': 45.30637853737624, 'players': 37.01306460292029, 'skill': 36.885871245961226, 'just': 30.37592150608569, 'press': 28.703412321580966, 'loot': 27.236972820632854}"
45,"{'game': 190.3459649655512, 'really': 127.38021032007458, 'like': 111.72733337043566, 'bored': 91.94455760561924, 'okay': 79.63567275959936, 'fun': 76.16786817803853, 'radio': 72.36337003638577, 'just': 65.39228162058944, 'don': 61.347645260745466, 'guys': 57.470814605238196}"
46,"{'game': 727.7667754821198, 'players': 250.57030478483784, 'just': 221.71989421513294, 'make': 147.17068308100028, 'like': 136.4108074228639, 'new': 128.608431990239, 'time': 121.91759960029506, 'player': 108.04654449409419, 'way': 107.20753461374677, 'play': 96.12671408630382}"
47,"{'monke': 1316.0099999999989, 'nimbatus': 17.98145193117834, 'chernobylite': 17.21002487161607, 'ash': 17.004913504833794, 'nash': 14.009999999999017, 'chernobyl': 13.334751048923627, 'need': 12.338061122930977, 'igor': 12.00999999998926, 'needs': 11.674860364791137, 'like': 11.000876399768579}"
48,"{'game': 1351.9361857552346, 'just': 254.6981147183877, 'bugs': 196.30658870495384, 'update': 195.4709830534398, 'time': 187.31944796164035, 'like': 180.1328660513272, 've': 123.02198725846617, 'review': 121.99634575782764, 'work': 121.14388934165149, 'make': 111.59289025588507}"
49,"{'virus': 454.00999999999453, 'rip': 56.0763994519982, 'dream': 48.40371922518064, 'anti': 36.235944191741474, 'euro': 34.27129438761536, 'paced': 25.55861479586099, 'fast': 16.806802646847093, 'twisted': 16.382118619781725, 'like': 14.558190579470482, 'metal': 14.07639053380531}"
50,"{'vr': 932.3058321997001, 'game': 160.69052988548265, 'just': 113.0718878047697, 'odyssey': 94.84958410459937, 'like': 59.389190415433276, 'experience': 49.829115189751725, 'vive': 49.304999534647536, 'think': 47.258656828179426, 'hotas': 41.946049329777175, 'working': 40.41789689495461}"
51,"{'space': 837.0324657152219, 'stuff': 298.9307871209993, 'game': 288.95939944877597, 'like': 205.63438322690388, 'crafting': 199.05388056381761, 'craft': 161.17954198128626, 'minecraft': 159.9571654486671, 'subnautica': 142.98898669771864, 'survival': 140.18731729705863, 'just': 137.40828105028257}"
52,"{'fucking': 411.19295214401814, 'game': 311.9678381065103, 'wont': 292.29832681476563, 'dead': 199.13062999575908, 'man': 164.5379528054959, 'hate': 141.31744953054854, 'just': 107.10675055449363, 'didnt': 89.44289898374342, 'play': 86.429206157886, 'let': 85.58568678367776}"
53,"{'idle': 97.28381485408516, 'really': 86.94431692701468, 'game': 75.67404069075987, 'just': 74.69098854395227, 'like': 46.44150469673392, 'bundle': 37.06151719701361, 'got': 33.75899258896553, 'desert': 25.741499580731013, 'humble': 24.620729312036442, 'lmao': 24.49854604355703}"
54,"{'pay': 1152.368098435364, 'win': 689.4273181704241, 'free': 585.7544242973596, 'game': 284.4151565502303, 'play': 276.0427813740106, 'money': 176.7255694200754, 'fun': 143.11866844075197, 'real': 97.09540991028724, 'want': 95.46735647967778, 'grind': 94.8234662696455}"
55,"{'keeps': 461.2645516136878, 'trash': 260.0332992460238, 'crashing': 213.1666435299388, 'game': 210.35189787601504, 'nostalgia': 131.71699882715205, '3d': 112.99474967149784, 'old': 87.52981204972393, 'adventurequest': 47.976765531349045, 'playing': 42.40128283218277, 'relax': 42.340466374273916}"
56,"{'game': 161.9536597873898, 'perfect': 136.85868134421665, 'like': 38.727076594632585, 'time': 36.8865062848891, '24': 30.669840899153474, 'love': 30.534173459086837, 'massive': 25.325369666122853, 'scifi': 23.358476443499423, 'cepheus': 23.269808408348442, 'protocol': 22.424167355697815}"
57,"{'game': 2874.7295800205557, 'like': 825.2020553446337, 'just': 780.7522073196753, 'time': 740.4702563170873, 'games': 561.7223343159279, 'class': 559.0086799875471, 'play': 554.111317896706, 'classes': 541.651137013364, 'quests': 522.0466871879853, 'quest': 506.5977830562903}"
58,"{'game': 225.37504568513347, 'tab': 87.63541064612457, 'alt': 81.28245181673647, 'ur': 74.61705864317243, 'just': 56.24805735044181, 'play': 48.18283878945957, 'time': 46.35803751033968, 'lobby': 44.95138991248763, 'mode': 41.083778566927926, 'make': 36.664113472891934}"
59,"{'10': 3104.620389864463, 'game': 208.7986089954326, 'hours': 98.15379305968874, 'gg': 67.8282820714676, 'chill': 66.71743531251762, 'play': 46.38253950815921, 'fun': 42.42426066469787, 'amazing': 41.095708944349134, 'like': 34.20838035630012, 'rate': 30.96023577498685}"
60,"{'absolute': 251.13638503412056, 'battle': 244.27880741864317, 'royale': 126.02496505371818, 'bother': 110.60926480404936, 'addicting': 104.60967282260364, 'game': 103.1136046976705, 'pubg': 63.36434511446179, 'better': 55.13935395490202, 'gemini': 51.0172424189235, 'fun': 50.9445608617021}"
61,"{'log': 287.8373071421677, 'fuck': 162.35653415079776, 'register': 100.489413189388, 'enter': 60.313961064509556, 'sent': 59.77168263785021, 'xd': 59.488640442200804, 'game': 51.963586374409175, 'redeem': 47.264703337871424, 'key': 44.245299297131254, 'create': 38.21163308506405}"
62,"{'game': 348.9405390576743, 'like': 68.64652440127607, 'player': 52.155907801995205, 'time': 48.851744600444285, 'developer': 41.40148462230161, 'games': 35.27027580566404, 'people': 34.56360259510216, 'new': 34.41039802469981, 'developers': 31.341544259663703, 'hours': 29.519878201226668}"
63,"{'hacked': 38.45914994376176, 'like': 26.905175702132922, 'game': 24.892078666046263, 'kills': 22.765354671465285, 'house': 19.403959549798245, 'afk': 18.871693994464383, 'port': 18.5393561262719, 'wacky': 17.44181153088633, 'room': 17.241293218215134, 'actually': 16.963582521729077}"
64,"{'cool': 1164.4192826314763, 'game': 172.5890821497419, 'pretty': 57.252843761644264, 'really': 52.71683743257905, 'lot': 47.84615715919145, 'concept': 39.01526972754183, 'fun': 36.85066336531006, 'mana': 27.74538810905113, 'life': 24.891583735978752, 'like': 23.3000178139867}"
65,"{'game': 99.78389974075357, 'son': 34.984263764845046, 'yo': 32.54553867856878, 've': 31.904972323728146, 'time': 29.487539033835407, 'start': 23.217413560505676, 'say': 22.484997723012714, 'farming': 21.91431170466998, 'just': 21.225117056966802, 'straight': 21.028700023404117}"
66,"{'bots': 196.45911199298357, 'ai': 195.05792539478477, 'match': 135.42021319345375, 'ball': 110.16323941397978, 'players': 85.14096878536802, 'game': 64.51761509298075, 'like': 61.84976597005382, 'just': 59.88269749138089, 'score': 55.353580791698235, 'attack': 50.880707047584906}"
67,"{'game': 1163.3484728618146, 'time': 317.2178521118048, 'spent': 310.14698157775376, 'bugs': 285.5902219953428, 'hours': 271.4342919453073, 'minutes': 225.1568850330281, 'just': 210.65057407145693, 'play': 195.9581547675209, 'like': 185.93978394048807, 'worst': 172.19032958970323}"
68,"{'nice': 1356.3510276324407, 'city': 625.9283704485367, 'game': 280.4721256172891, 'horrible': 194.0138626941877, 'builder': 177.70404039967048, 'building': 101.01456646512536, 'beavers': 76.58828186894355, 'gud': 74.76789078326945, 'medieval': 56.82218908903196, 'like': 56.630559495978225}"
69,"{'ship': 1073.1553506843807, 'game': 546.9984021754171, 'ships': 515.300420326783, 'learning': 462.36261227885774, 'space': 443.3350700066592, 'combat': 413.80639678223037, 'curve': 320.2806680027296, 'mining': 146.83633290776362, 'missions': 145.60415956593513, 'steep': 145.3688817627277}"
70,"{'game': 635.3351170990621, 'car': 385.52773119111714, 'like': 375.74686013946473, 'cars': 306.88830377414496, 'driving': 289.08830555933446, 'racing': 280.45207171887665, 'really': 241.41299174087789, 'just': 219.80979296676594, 'fun': 176.10910387117855, 'races': 163.7145907020246}"
71,"{'waste': 588.6366282292254, 'money': 581.8298566498876, 'garbage': 380.2213100764882, 'game': 259.52731959529444, 'time': 221.7569294710984, 'dont': 199.14398757805213, 'god': 195.60802924019333, 'damn': 192.7465566751613, 'hell': 182.27267454271714, 'addictive': 179.19371102595818}"
72,"{'like': 1239.2829404727113, 'game': 1088.3547729758138, 'just': 579.0619370199091, 'really': 479.47740563581505, 'feel': 430.3247127176621, 'don': 306.00711850813497, 'feels': 294.04363073867, 'pretty': 291.4713770479461, 'games': 253.5533832171282, 'didn': 249.87244258178555}"
73,"{'game': 615.4645538361525, 'strategy': 275.5064447648215, 'based': 266.95544513506746, 'turn': 256.5335328790997, 'football': 176.0709216655906, 'games': 133.4227796057684, 'management': 128.4393548059712, 'like': 121.53568043857543, 'tactics': 119.8353565227267, 'play': 113.30369091642893}"
74,"{'excellent': 280.2981796807337, 'game': 158.94353070769222, 'outstanding': 40.64202684678558, 'like': 39.372489691073724, 'movie': 37.938885975836115, 'enjoyed': 34.035593318656716, 'story': 32.23255866647426, 'incredible': 31.180561514472675, 'want': 28.494201539120336, 'visuals': 28.06344366168817}"
75,"{'voice': 598.156973589141, 'acting': 370.54904857165496, 'art': 264.52473236883054, 'game': 260.518042525977, 'great': 220.5286530600784, 'story': 164.97296121431378, 'funny': 142.18171591631332, 'good': 134.33137383951038, 'style': 129.6176980953298, 'humor': 126.92112095859189}"
76,"{'good': 517.1125176738049, 'bad': 495.25055668665937, 'price': 438.96868004939387, 'grind': 394.97727157362374, 'decent': 358.731520770818, 'just': 285.29801637563344, 'game': 284.01467113172845, 'worth': 275.41054195406184, 'easy': 242.90993540514563, 'bugs': 238.05882332898838}"
77,"{'game': 836.9864126372738, 'dlc': 794.732669718626, 'buy': 211.8190432570241, 'paid': 210.8951094575809, 'party': 194.82615198419137, 'content': 188.08901990845996, 'money': 146.35302701201707, 'software': 134.6866619737368, 'removed': 126.43533197887224, 'support': 125.95534064562426}"
78,"{'blade': 169.17860618691194, 'mount': 158.29972135301773, 'game': 110.38485485307581, 'wouldnt': 41.71224281193671, 'like': 39.29122132579791, 'just': 36.47061974930117, 'intro': 33.79483313255128, 'hrs': 24.766125728604173, 'mins': 23.56888596079809, 'guns': 21.940174160225727}"
79,"{'game': 401.1975786088495, 'time': 117.73072730737047, 'like': 90.54539622620773, 'just': 76.30160142813219, 'don': 52.76825465636694, 'play': 52.32328682100959, 'start': 43.887033082369385, 'does': 41.28991130002798, 'battle': 41.2379567731924, 'new': 40.429347527174336}"
80,"{'game': 183.01912911821472, 'scary': 59.284392417705085, 'really': 53.19517499005745, 'right': 49.148824047949596, 'clunky': 47.33797283336314, 'just': 44.831407733906964, 'sound': 42.05405176227406, 'little': 37.09951431485981, 'bad': 33.247226855173366, 'portal': 32.67983543131287}"
81,"{'server': 635.8900067869246, 'servers': 481.4971696549283, 'error': 275.91364587753463, 'game': 199.99570931698352, 'connect': 143.7618220047151, 'connection': 139.69940905464517, 'play': 134.96182807267564, 'crew': 123.6323099920721, 'ass': 117.56681328375353, 'code': 109.4928685412842}"
82,"{'game': 412.28149566778393, 'failed': 207.3189368510553, 'want': 123.32460901786195, 'authentication': 107.00999999998393, 'time': 99.5596296919723, 'just': 90.60945528962283, 'play': 75.29356273899486, 'make': 74.73063370548788, 'don': 67.0917756392498, 'start': 62.350611620138785}"
83,"{'game': 1571.3187518694137, 'just': 465.3221977402057, 'like': 311.0419634180267, 'don': 242.8047230639741, 'way': 223.9611602834408, 'games': 223.37994916479812, 'make': 208.1959875367833, 'time': 207.5395356242451, 'really': 189.80806225744664, 'developer': 186.8706291336493}"
84,"{'game': 2004.6061662127436, 'really': 782.9236832711705, 'amazing': 719.6650074308969, 'story': 448.5776165189748, 'bit': 397.91487602402185, 'interesting': 382.3467091731461, 'quite': 380.63256816991543, 'gameplay': 360.19589506020066, 'graphics': 335.23692442435265, 'good': 334.48744860734826}"
85,"{'game': 3197.826020975924, 'play': 1118.6878749859193, 'crashes': 615.8154088033425, 'issue': 522.587833505546, 'pc': 493.4812937533339, 'fix': 488.15278974725595, 'tried': 394.8571997340817, 'fixed': 360.1392681532026, 'problem': 358.65188920727803, 'computer': 345.2594762308598}"
86,"{'workout': 50.11772696897542, 'songs': 49.89884196543302, 'song': 41.56506324013242, 'battle': 31.362813953375746, 'op': 28.796249779092825, 'queue': 27.92512608983928, 'что': 26.84647731371364, 'vocs': 25.009999999995774, 'local': 23.9185164893158, 'на': 22.89361422233648}"
87,"{'alot': 379.53072248617497, 'game': 347.69300254068224, 'achievements': 157.38506391303966, 'lol': 127.1763543090745, 'like': 79.76639781886682, 'gem': 72.56766851590443, 'just': 72.0951975335207, 'fun': 68.46155214707437, 'enjoying': 68.44681002458418, 'love': 60.38663745605945}"
88,"{'best': 1280.4173686735726, 'game': 1213.4175933203721, 'played': 961.7947968079271, 've': 585.6441809952056, 'screen': 554.3342158311508, 'games': 419.9956556455745, 'loading': 308.9567980425096, 'play': 273.3859651713439, 'far': 176.71597793961038, 'ive': 174.61335194257416}"
89,"{'dungeon': 235.2599109249973, 'minions': 228.9261275757231, 'game': 228.73736768612142, 'war': 205.9958382866189, 'like': 204.51805764568587, 'rooms': 177.7636824247267, 'dk': 157.25952785925696, 'overworld': 116.58435532241647, 'campaign': 115.40990071111977, 'just': 114.39106156700186}"
90,"{'game': 650.8209701788434, 'tutorial': 309.1218364085579, 'like': 144.34930816626525, 'tutorials': 138.28637522711188, 'youtube': 137.0693186968778, 'time': 131.68388379621183, 'videos': 129.12984794090636, 'play': 126.17574263706791, 'games': 114.06392392019762, 'just': 108.86037744296182}"
91,"{'game': 170.7212181522446, 'way': 40.12212229846601, 'contraband': 35.9236856817661, 'make': 31.37807853086198, 'like': 31.111393710943656, 'expensive': 29.586108562054008, 'cossacks': 26.93033133333408, 'work': 25.422091206660497, 'platform': 25.36429164189251, 'icons': 23.10014723178694}"
92,"{'game': 171.4997635054632, 'just': 97.35445560895606, 'time': 78.79538950029017, 'like': 45.04826891306726, 'did': 41.520607564712506, 'recognize': 38.08084216553678, 'use': 32.50471968711704, 'h2': 31.965003680615638, 'don': 31.484253858975304, 'instead': 30.81113045417722}"
93,"{'early': 1912.9688159277287, 'access': 1642.1372006668278, 'game': 834.8016894835546, 'development': 232.4560353691303, 'alpha': 180.45658666267715, 'years': 178.15694871157248, 'bugs': 148.04796506035055, 'content': 129.83444838472676, 'potential': 123.93444936244198, 'release': 116.08263690365168}"
94,"{'game': 371.3504004462451, 'terrible': 319.28777725359123, 'camera': 175.82175924933108, 'controls': 135.91847851024426, 'just': 132.5301519352597, 'like': 127.63474773821129, 'love': 94.08913895623262, 'bad': 78.44079792031033, 'don': 70.2136478379435, 'level': 68.85539741237186}"
95,"{'game': 1093.1240967830133, 'just': 710.2494064380066, 'like': 329.0267634542158, 'spawn': 282.58541751218655, 'zombies': 242.3546615120417, 'people': 194.38081819914723, 'time': 191.49827509239861, 'don': 167.38575817631082, 'horde': 166.03393457079784, 'right': 154.18304594137254}"
96,"{'like': 574.6297025600601, 'fps': 462.2691578548056, 'game': 414.53897882004804, 'just': 193.19026381193243, 'settings': 190.15778822225568, 'feels': 115.48077889162758, '60': 114.2468457588136, 'bakery': 108.36966171117048, 'change': 102.12718242000507, 'orders': 100.60264636568853}"
97,"{'game': 166.98884199953386, 'chapter': 163.44730785922798, 'just': 67.11870842591934, 'ages': 59.14330252184988, 'time': 58.28520881982611, 'hand': 47.35117799261813, 'new': 42.806017154095926, 'played': 42.76795445953631, 'gold': 41.30993329484143, 'matchmaking': 40.0023562087099}"
