topic_index,keywords
21,"{'uninstall': 171.13677907014218, 'gaijin': 156.55851149513657, 'game': 119.69123625681365, 'remove': 94.90650301809451, 'net': 84.95309876534021, 'freezes': 78.80357321210312, 'delete': 62.27263464300576, 'background': 61.71008933500723, 'uninstalled': 56.3366469301291, 'software': 50.97123047291418}"
22,"{'game': 809.8276681628381, 'like': 386.3808296731171, 'really': 227.12356908494755, 'controls': 213.117982078298, 'just': 208.50193255819087, 'mouse': 168.2482363628545, 'motion': 151.48138935788847, 'time': 147.43705105925713, 'bad': 147.28552865696608, 'movement': 138.27414082464284}"
23,"{'steam': 802.3469401966634, 'game': 440.36823541588313, 'start': 409.7947564183967, 'try': 266.44865744295686, 'failed': 210.41260125200634, 'ok': 202.8403127353657, 'demo': 158.47598541292848, 'dead': 109.94878564355378, 'authentication': 107.01999999999337, 'achievements': 70.0530103983712}"
24,"{'game': 1892.1640885541058, 'like': 1014.7305175929072, 'items': 806.0864145160499, 'just': 778.8477892186266, 'quest': 778.6850048831926, 'quests': 694.8354923565672, 'level': 687.7587794697719, 'time': 648.3241045097961, 'class': 592.1189617983383, 'classes': 566.4574179465789}"
25,"{'game': 802.4600304372982, 'save': 369.64947070050073, 'just': 283.50645468965104, 'time': 207.18458078728844, 'money': 177.89144773958316, 'games': 124.6689465486673, 'progress': 107.85482224370297, 'saved': 76.39438628391778, 'got': 71.05553002557434, 'start': 69.09190282591682}"
26,"{'game': 2698.3121116260895, 'like': 1117.351103858158, 'building': 997.6443423035389, 'just': 993.4501626537841, 'build': 951.3753564063863, 'base': 844.8069233061836, 'ai': 662.4694375541586, 'really': 605.664091418352, 'food': 579.1907138546312, 'need': 545.4080794482394}"
27,"{'alt': 73.66755223231738, 'servers': 69.3089032709547, 'que': 51.13827412493264, 'tab': 45.453351659875224, 'disconnected': 43.84200967826364, 'la': 37.96004591776133, 'like': 33.204325465849855, 'es': 33.01182911142185, 'rust': 30.401317056243983, 'cossacks': 28.019999999980843}"
28,"{'pvp': 243.4344935123328, 'pve': 150.71504730816025, 'game': 136.24607251043625, 'max': 92.37384266866628, 'pros': 72.38978577906256, 'mad': 70.16889728847647, 'cons': 67.23020965074184, 'like': 45.974707046429614, 'win': 44.46702848483257, 'route': 43.39298323275955}"
29,"{'game': 3563.61837361155, 'fun': 3206.350734802872, 'games': 976.1735472204424, 'played': 940.8005894245666, 'really': 935.2012564079433, 'playing': 808.4068078127933, 'time': 764.2785648252872, 've': 693.6051738774082, 'like': 573.0635648993351, 'just': 561.2399237370014}"
30,"{'game': 1439.291900891249, 'space': 634.2485396501393, 'elite': 429.3269918905541, 'like': 407.76301875077354, 'ship': 360.0173076249185, 'play': 290.89478029296964, 'dangerous': 253.52211417034945, 'love': 231.73479983365152, 'want': 216.26961940158944, 'galaxy': 215.98490033238213}"
31,"{'game': 2133.549575324101, 'like': 651.1394129279033, 'h1': 602.6133428316485, 'weapons': 407.40975379056533, 'gameplay': 330.697417815839, 'don': 329.2182334853409, 'make': 318.4923817485807, 'enemies': 312.20144990645736, 'way': 287.38224290927036, 'time': 281.39442377081576}"
32,"{'sucks': 183.3633886931711, 'game': 68.0116676768473, 'man': 52.579227501969406, 'person': 43.796889844267156, 'novel': 42.003800699433846, 'atmospheric': 37.569519029823866, 'uplay': 36.91421436337039, 'scifi': 34.968392168536475, 'narration': 34.45291883322613, '3rd': 34.41258142900236}"
33,"{'game': 2522.0410278607196, 'story': 1128.0910894483268, 'world': 810.9795802109835, 'puzzles': 793.1563608376384, 'primordia': 637.0723481505098, 'games': 610.2464878154518, 'point': 603.5481387816277, 'like': 559.492308545804, 'characters': 528.6915092858578, 'just': 468.41683929802963}"
34,"{'dungeon': 1380.2033299798518, 'game': 1223.8562517669195, 'keeper': 903.0199999999795, 'crashes': 475.7501522944791, 'like': 420.1488448294668, 'campaign': 400.8352744749396, 'crash': 277.46171484793746, 'dk': 246.60498454296146, 'just': 212.3205767754085, 'war': 204.62669978174185}"
35,"{'simulator': 452.7783130397281, 'sim': 421.7159229125739, 'racing': 272.07969527477564, 'drone': 262.2582404410571, 'real': 231.91970409959998, 'fly': 226.22079741829407, 'physics': 211.41330857702079, 'flying': 209.97358862891872, 'great': 144.30628726807765, 'drones': 130.3107142306401}"
36,"{'game': 2523.8126314472374, 'player': 724.040066089431, 'time': 617.9838108756824, 'players': 546.5499988089854, 'like': 533.475387230093, 'just': 407.44502234102157, 'play': 383.63574690342926, 'good': 380.2147742834845, 'games': 346.8213464980564, 'way': 344.0730043261539}"
37,"{'game': 4919.118892676877, 'play': 2664.6974816700845, 'fun': 1066.104537394394, 'free': 835.927756454754, 'like': 796.2935325526862, 'friends': 601.1260088072457, 'great': 556.7045102954942, 'just': 536.7153048235782, 'really': 459.8891050570015, 'people': 448.9657185221427}"
38,"{'game': 1233.0426330874363, 'money': 985.1228213540223, 'buy': 926.9430985695903, 'waste': 579.365295386125, 'time': 531.9939939857089, 'don': 526.3391524081746, 'play': 357.2883377441977, 'dont': 325.79695327902124, 'just': 288.0626203981397, 'work': 242.83759711302858}"
39,"{'yes': 548.5106109396801, 'game': 407.20556788713765, 'wait': 185.58468702621735, 'poorly': 80.0749262011731, 'chapter': 79.93849770902942, 'ram': 67.01513037665602, 'runs': 66.2112488382071, 'endless': 63.15450912945857, 'settings': 61.17073935985445, 'optimized': 59.205542560340916}"
40,"{'game': 1026.3037414842127, 'early': 389.6755939575263, 'access': 329.4929881509864, 'hours': 195.12051491534191, 'content': 193.81246536372663, 'devs': 188.2953862394632, 'recommend': 186.1702943748403, 'just': 172.1865089844584, 'really': 157.05449755310292, 'years': 128.79627397787877}"
41,"{'strike': 159.75175888247566, 'game': 60.072040080507904, 'like': 58.19658371273911, 'space': 56.84564521575043, 'just': 55.6051941116235, 'weapons': 54.00050072551851, 'enemies': 51.484269274451485, 'new': 46.238626767756806, 'things': 45.40264519924996, 'mission': 44.759111598289856}"
42,"{'good': 3840.356632352234, 'game': 1603.494426548961, 'bad': 700.1920061273926, 'price': 418.43666669905406, 'just': 390.5283870287369, 'graphics': 387.9508398727821, 'worth': 325.16903539019125, 'bugs': 324.6429225071069, 'decent': 308.81003522624485, 'pretty': 300.98491877537714}"
43,"{'game': 2444.2490174574637, 'great': 2399.518393976524, 'story': 1829.6613350612008, 'point': 991.565389195807, 'click': 908.2897183081993, 'adventure': 881.7503765287397, 'games': 813.2466987074012, 'art': 690.5686040599412, 'really': 651.8746379790213, 'puzzles': 639.5490853440838}"
44,"{'td': 337.01999999998833, 'tr': 149.01999999999478, 'idle': 83.37190652314546, 'game': 65.03317446384082, 'th': 54.951228893310805, 'table': 42.068464280972535, 'h1': 35.91169370167522, 'gems': 30.422151854414295, 'hours': 28.600270095110023, 'play': 26.572710635550465}"
45,"{'watch': 349.0839041311778, 'youtube': 332.4153998447206, 'https': 308.5597239027989, 'game': 255.06731362101354, 'video': 231.05376218690176, 'www': 209.8334413194516, 'com': 175.4847731730455, 'like': 151.81305489877403, 'really': 132.17092346243166, 'youtu': 123.30484760981959}"
46,"{'game': 2103.9332208900655, 'just': 746.1611348010505, 'players': 586.7642341313466, 'time': 460.87254537513064, 'make': 449.2674925636127, 'new': 437.3444104085895, 'server': 353.38970144732855, 'like': 350.080374412879, 'things': 341.4318571633349, 'player': 334.33132639718025}"
47,"{'monke': 1316.0199999999986, 'game': 51.63774537580584, 'need': 41.74795162781522, 'like': 37.00884582524003, 'head': 26.43020925421615, 'work': 26.197576772037838, 'just': 23.953370050087344, 'stalker': 21.693470195926906, 'chernobylite': 20.660435605200007, 'kill': 18.318724803978284}"
48,"{'game': 2619.5004889259612, 'like': 338.0968002230861, 'just': 319.5785998968471, 'play': 290.1232293604033, 'really': 273.4269758016587, 'update': 266.1910346655366, 'time': 257.40351353778107, 've': 171.6415226481266, 'far': 169.52575059315092, 'work': 160.78381938758923}"
49,"{'learning': 350.1289934620732, 'curve': 278.29528749672806, 'download': 167.20873501093058, 'steep': 134.45354818984814, 'game': 121.6694086402112, 'install': 109.58389688793798, 'program': 91.19599813295697, 'malware': 75.50844813743977, 'awful': 57.28404571039, 'meh': 52.69974445222593}"
