recommendationid,topic
48713451,"[('sucks', 0.6569), ('dont', 0.3312), ('get', 0.3143), ('it', 0.2366)]"
48686370,"[('bugs', 0.5265), ('glitchs', 0.4811), ('developer', 0.3168), ('game', 0.3083), ('survival', 0.3033)]"
48685420,"[('game', 0.38), ('trees', 0.3256), ('die', 0.306), ('cut', 0.3041), ('bugged', 0.2936)]"
48668298,"[('rock', 0.4175), ('hut', 0.3508), ('game', 0.3348), ('tree', 0.3185), ('trees', 0.3102)]"
48659268,"[('glichy', 0.5438), ('bad', 0.4836), ('game', 0.4137), ('is', 0.2205), ('very', 0.2181)]"
48658638,"[('devlopment', 0.4538), ('development', 0.357), ('game', 0.3231), ('playable', 0.3212), ('games', 0.3186)]"
48657677,"[('island', 0.4158), ('ocean', 0.3937), ('shark', 0.3317), ('bugs', 0.3238), ('game', 0.3022)]"
48656859,"[('barren', 0.4965), ('coconut', 0.3919), ('thirst', 0.3853), ('empty', 0.3612), ('island', 0.361)]"
124571898,"[('mouse', 0.3611), ('sluggish', 0.33), ('camera', 0.2801), ('speed', 0.2778), ('motion', 0.2762)]"
120015695,"[('idea', 0.3473), ('improved', 0.2673), ('map', 0.2507), ('difficult', 0.238), ('release', 0.2353)]"
106132667,"[('vacuum', 0.526), ('nuts', 0.5199), ('crushed', 0.2533), ('sucked', 0.2373), ('help', 0.2223)]"
72639078,"[('roombo', 0.5359), ('blood', 0.4096), ('rambo', 0.3681), ('adventure', 0.3556), ('house', 0.337)]"
69162968,"[('roombo', 0.4634), ('roomba', 0.3867), ('controls', 0.3683), ('control', 0.3478), ('controlling', 0.3335)]"
63829088,"[('broken', 0.39), ('hacking', 0.3634), ('tutorial', 0.3588), ('thief', 0.3544), ('controls', 0.3305)]"
54750070,"[('hackable', 0.3771), ('hacking', 0.3625), ('hack', 0.3376), ('controls', 0.3133), ('thieves', 0.3127)]"
160300903,"[('stuttering', 0.5381), ('unplayable', 0.441), ('stutter', 0.424), ('audio', 0.2934), ('steam', 0.2763)]"
153260195,"[('creative', 0.5633), ('explosive', 0.5241), ('unique', 0.516), ('varied', 0.4718), ('exciting', 0.4625)]"
153022362,"[('syncing', 0.4625), ('levels', 0.4385), ('music', 0.4115), ('replayability', 0.3761), ('15', 0.1406)]"
152953165,"[('finger', 0.3782), ('shmup', 0.3509), ('freedom', 0.3201), ('fisting', 0.3066), ('gameplay', 0.272)]"
92124344,"[('move', 0.7361), ('cant', 0.4017)]"
73589538,"[('shabby', 0.804), ('too', 0.2542), ('not', 0.2294)]"
69790774,"[('gamma', 0.6907), ('ray', 0.4117), ('read', 0.3311), ('do', 0.2371), ('me', 0.2311)]"
65213001,"[('gameplay', 0.4034), ('shooter', 0.374), ('shooters', 0.3453), ('behemoth', 0.3436), ('soundtrack', 0.3307)]"
64754166,"[('monsters', 0.3618), ('absolutely', 0.3173), ('definately', 0.3128), ('mob', 0.3081), ('skeletons', 0.3004)]"
55169123,"[('sails', 0.5156), ('sailing', 0.4407), ('ships', 0.4384), ('designing', 0.3676), ('building', 0.3555)]"
50042003,"[('achievements', 0.4407), ('hours', 0.4016), ('time', 0.3421), ('soundtrack', 0.3141), ('gameplay', 0.2906)]"
49543791,"[('minesweeper', 0.5739), ('minesweepers', 0.543), ('hentai', 0.4172), ('games', 0.3441), ('game', 0.3106)]"
60455687,"[('wizard', 0.4364), ('hooking', 0.3546), ('student', 0.313), ('narrative', 0.3119), ('story', 0.2758)]"
160177517,"[('loading', 0.4572), ('screen', 0.4329), ('play', 0.3678), ('game', 0.3472), ('match', 0.3128)]"
153737898,"[('hacking', 0.5027), ('win32', 0.4077), ('windows', 0.4057), ('steam', 0.4022), ('tool', 0.3274)]"
129063597,"[('dev', 0.3987), ('game', 0.3211), ('recommend', 0.2855), ('duty', 0.2595), ('team', 0.2143)]"
128756732,"[('reinstall', 0.5259), ('servers', 0.3833), ('discord', 0.3574), ('fix', 0.2557), ('try', 0.253)]"
128698240,"[('language', 0.4422), ('setting', 0.4137), ('option', 0.305), ('cannot', 0.2607), ('find', 0.0976)]"
128687152,"[('playerbase', 0.4894), ('owner', 0.4709), ('game', 0.2768), ('lack', 0.1938), ('has', 0.1655)]"
50689328,"[('crashing', 0.4135), ('swamp', 0.3973), ('kaleldogames', 0.3531), ('problems', 0.3022), ('kaleidogames', 0.2716)]"
161811420,"[('mod', 0.3645), ('monetisation', 0.357), ('mods', 0.3268), ('pay', 0.3147), ('dev', 0.2898)]"
158903157,"[('waste', 0.6494), ('time', 0.5126), ('of', 0.3354)]"
158686750,"[('load', 0.3883), ('game', 0.3876), ('connecting', 0.3616), ('stuck', 0.3588), ('screen', 0.3502)]"
151360402,"[('devs', 0.4181), ('changes', 0.3831), ('updates', 0.3758), ('communicating', 0.3281), ('upcoming', 0.3084)]"
143325892,"[('timer', 0.3761), ('minutes', 0.3618), ('rewards', 0.3296), ('spirit', 0.3095), ('minute', 0.3052)]"
142098576,"[('load', 0.442), ('server', 0.4065), ('play', 0.3695), ('game', 0.3343), ('connect', 0.3121)]"
142096678,"[('server', 0.6458), ('connecting', 0.6242), ('wait', 0.2519), ('please', 0.2221), ('to', 0.0638)]"
141433986,"[('closes', 0.429), ('idle', 0.4241), ('closing', 0.399), ('review', 0.3427), ('server', 0.3394)]"
140946414,"[('idle', 0.4321), ('idled', 0.3694), ('reviews', 0.3308), ('review', 0.322), ('steam', 0.2962)]"
140438264,"[('p2w', 0.6568), ('idle', 0.5738), ('game', 0.345), ('yet', 0.275), ('another', 0.224)]"
138591256,"[('reviewers', 0.4022), ('review', 0.3595), ('devs', 0.2817), ('negative', 0.2517), ('grindfest', 0.2489)]"
138122084,"[('prestige', 0.5171), ('progression', 0.3245), ('slow', 0.2701), ('hero', 0.2567), ('connection', 0.2555)]"
137878645,"[('games', 0.3627), ('recommend', 0.2959), ('fun', 0.295), ('game', 0.2922), ('idle', 0.266)]"
137303055,"[('static', 0.5141), ('idlers', 0.5056), ('gameplay', 0.4442), ('enjoyable', 0.4221), ('fun', 0.3447)]"
132957275,"[('alert', 0.4036), ('tavern', 0.3821), ('p2w', 0.3074), ('devs', 0.2528), ('f2p', 0.2517)]"
132822300,"[('quit', 0.3059), ('fun', 0.2948), ('game', 0.2789), ('ban', 0.2777), ('pedophilia', 0.2569)]"
131715210,"[('f2p', 0.4526), ('game', 0.3529), ('games', 0.3414), ('servers', 0.3272), ('playing', 0.2852)]"
130416594,"[('stupid', 0.4421), ('game', 0.4042), ('played', 0.3427), ('of', 0.2209), ('this', 0.214)]"
128562102,"[('priced', 0.5555), ('over', 0.3558), ('meh', 0.2789)]"
127916173,"[('upgrades', 0.3594), ('rng', 0.3567), ('upgrading', 0.3179), ('war', 0.3071), ('games', 0.3062)]"
127335136,"[('platform', 0.3963), ('guilds', 0.3408), ('game', 0.3203), ('steam', 0.3183), ('groups', 0.3072)]"
125553130,"[('censors', 0.3681), ('discord', 0.3367), ('steam', 0.3204), ('sorrow', 0.3136), ('feedback', 0.3084)]"
123826303,"[('idler', 0.4031), ('idle', 0.4002), ('reviews', 0.3913), ('review', 0.3615), ('clicker', 0.3192)]"
123382290,"[('balancing', 0.5676), ('servers', 0.4257), ('games', 0.3091), ('game', 0.2971), ('abandoning', 0.2346)]"
122000424,"[('microtransactions', 0.6625), ('mobile', 0.4509), ('game', 0.4064), ('generic', 0.3802), ('with', 0.0908)]"
121704297,"[('rpg', 0.5307), ('crusaders', 0.3332), ('boring', 0.3251), ('lost', 0.3063), ('characters', 0.3051)]"
120930726,"[('addictive', 0.427), ('f2p', 0.4069), ('games', 0.3872), ('reward', 0.3783), ('rewards', 0.3717)]"
120532395,"[('guild', 0.5046), ('fellowship', 0.3451), ('fun', 0.322), ('game', 0.2931), ('dying', 0.2272)]"
119847123,"[('game', 0.3255), ('fan', 0.3219), ('looking', 0.2744), ('meh', 0.2364), ('tried', 0.2197)]"
119584091,"[('recommend', 0.6269), ('cant', 0.4368), ('this', 0.3155)]"
119383240,"[('currency', 0.3864), ('currencies', 0.373), ('money', 0.321), ('pay', 0.287), ('guild', 0.285)]"
118962420,"[('grind', 0.539), ('fails', 0.3537), ('connect', 0.3484), ('pointless', 0.2865), ('often', 0.224)]"
118951874,"[('quests', 0.3578), ('fun', 0.2888), ('game', 0.2804), ('timers', 0.2687), ('playing', 0.2598)]"
117741036,"[('fix', 0.5), ('try', 0.3606), ('again', 0.2839), ('in', 0.1493), ('ll', 0.1485)]"
117461277,"[('uninstalled', 0.3497), ('steam', 0.338), ('redownload', 0.3073), ('server', 0.2776), ('game', 0.2725)]"
116687813,"[('guild', 0.4207), ('quit', 0.3849), ('effort', 0.244), ('game', 0.2409), ('pay', 0.2358)]"
116451122,"[('timers', 0.4544), ('mobile', 0.4042), ('game', 0.3483), ('waiting', 0.2632), ('time', 0.2544)]"
116440824,"[('upgrades', 0.3925), ('update', 0.3584), ('upgrade', 0.3399), ('release', 0.332), ('buggy', 0.3171)]"
115870155,"[('f2p', 0.5649), ('mobile', 0.4452), ('trash', 0.3531), ('purchases', 0.336), ('pc', 0.3097)]"
115743386,"[('load', 0.3988), ('internet', 0.3222), ('connect', 0.3028), ('game', 0.3013), ('loads', 0.2898)]"
113544790,"[('guild', 0.5278), ('review', 0.3281), ('studio', 0.3121), ('idle', 0.3065), ('developers', 0.2596)]"
113532292,"[('servers', 0.4158), ('server', 0.4088), ('friendly', 0.317), ('players', 0.2847), ('new', 0.276)]"
112422094,"[('disconnected', 0.523), ('idle', 0.3057), ('try', 0.2827), ('hours', 0.2628), ('log', 0.205)]"
108661192,"[('firestone', 0.5552), ('malware', 0.5304), ('avast', 0.438), ('uninstalled', 0.4295), ('quarantined', 0.3711)]"
102748815,"[('p2w', 0.5349), ('tea', 0.4191), ('cuppa', 0.3952), ('hack', 0.3419), ('bland', 0.3257)]"
102157828,"[('idle', 0.5), ('specs', 0.3865), ('crashes', 0.3838), ('graphics', 0.346), ('games', 0.3215)]"
102064615,"[('rebooting', 0.3444), ('started', 0.3398), ('starting', 0.309), ('start', 0.302), ('guild', 0.2742)]"
101904029,"[('guild', 0.4075), ('idler', 0.3487), ('guilds', 0.3481), ('hangs', 0.2884), ('offline', 0.2773)]"
101546870,"[('game', 0.6985), ('shit', 0.5645)]"
100112947,"[('heroes', 0.4134), ('upgrades', 0.3495), ('enemy', 0.3231), ('graphics', 0.3102), ('game', 0.2514)]"
99801275,"[('idle', 0.4459), ('rpg', 0.4009), ('game', 0.3799), ('playing', 0.3295), ('play', 0.3215)]"
63840205,"[('banned', 0.475), ('clicker', 0.3313), ('reason', 0.2724), ('idle', 0.2626), ('carpal', 0.2418)]"
59411603,"[('ipad', 0.6234), ('pc', 0.4749), ('game', 0.2569), ('thx', 0.1966), ('for', 0.1657)]"
57309652,"[('kill', 0.4545), ('time', 0.4194), ('decent', 0.3313), ('way', 0.2091), ('to', 0.2045)]"
56989463,"[('loot', 0.3812), ('game', 0.3218), ('games', 0.2828), ('clicker', 0.2787), ('fun', 0.2698)]"
55476373,"[('clicking', 0.4942), ('multiplayer', 0.4772), ('auto', 0.3982), ('devs', 0.3941), ('promote', 0.2675)]"
55453371,"[('free', 0.4265), ('pay', 0.3687), ('games', 0.3443), ('unfair', 0.3245), ('game', 0.2927)]"
55448526,"[('game', 0.3271), ('microtransactions', 0.3172), ('fun', 0.2794), ('play', 0.2729), ('money', 0.2465)]"
55413081,"[('clicking', 0.5917), ('idle', 0.5726), ('game', 0.2895), ('much', 0.1802), ('too', 0.1519)]"
55408490,"[('clan', 0.4922), ('bug', 0.3571), ('fix', 0.2815), ('gf', 0.2528), ('feature', 0.2512)]"
55336527,"[('leveling', 0.4491), ('levels', 0.4223), ('level', 0.3995), ('grind', 0.3412), ('restarting', 0.3211)]"
55326323,"[('leveling', 0.382), ('levels', 0.3801), ('control', 0.3798), ('level', 0.3488), ('characters', 0.3205)]"
110789961,"[('motorsport', 0.5613), ('sequel', 0.4466), ('game', 0.3221), ('dev', 0.2946), ('manager', 0.2579)]"
55288506,"[('crashes', 0.4795), ('rebuy', 0.2763), ('program', 0.2497), ('season', 0.2449), ('drivers', 0.2277)]"
79687824,"[('play', 0.4257), ('friends', 0.3267), ('game', 0.3216), ('robots', 0.2879), ('instructions', 0.2655)]"
67564044,"[('solo', 0.562), ('mode', 0.4593), ('broken', 0.3566), ('online', 0.3037), ('play', 0.3025)]"
52204895,"[('play', 0.4073), ('game', 0.3801), ('playing', 0.373), ('buggy', 0.3711), ('letters', 0.3674)]"
51293580,"[('scrabble', 0.6717), ('words', 0.2729), ('literati', 0.2484), ('word', 0.2446), ('tiles', 0.2295)]"
51084118,"[('word', 0.3375), ('game', 0.3328), ('music', 0.3105), ('reviews', 0.2933), ('off', 0.2222)]"
50725651,"[('buggy', 0.7329), ('extremely', 0.2488), ('it', 0.2146), ('is', 0.2035)]"
50648963,"[('steam', 0.3694), ('games', 0.2859), ('online', 0.2842), ('access', 0.2773), ('gameplay', 0.2578)]"
50554865,"[('scrabble', 0.5119), ('games', 0.4153), ('words', 0.4047), ('slang', 0.3994), ('letter', 0.3807)]"
54862878,"[('vr', 0.5642), ('oculus', 0.4215), ('gameplay', 0.3725), ('rift', 0.3719), ('immersive', 0.353)]"
54754066,"[('game', 0.3731), ('fps', 0.3567), ('fun', 0.3223), ('gun', 0.3198), ('sound', 0.293)]"
54543750,"[('oculus', 0.529), ('rift', 0.4673), ('screen', 0.2949), ('game', 0.2351), ('issues', 0.2292)]"
54507477,"[('vr', 0.5224), ('gameplay', 0.3896), ('grenade', 0.2682), ('animations', 0.2587), ('graphics', 0.2373)]"
84197012,"[('wawa', 0.4514), ('frog', 0.3401), ('level', 0.319), ('play', 0.2826), ('united', 0.2823)]"
153898651,"[('bugs', 0.4211), ('buggy', 0.3771), ('epic', 0.3216), ('game', 0.3153), ('breaking', 0.2951)]"
144550965,"[('launcher', 0.345), ('review', 0.2754), ('epic', 0.242), ('developers', 0.2404), ('dev', 0.2185)]"
140051039,"[('spawning', 0.4683), ('spawn', 0.4345), ('combat', 0.4163), ('melee', 0.3851), ('vermin', 0.3832)]"
137191690,"[('error', 0.7129), ('fatal', 0.6282)]"
134672258,"[('steamdeck', 0.5382), ('sessions', 0.4308), ('session', 0.428), ('steamos', 0.3507), ('join', 0.3423)]"
134182133,"[('review', 0.4239), ('difficulty', 0.3356), ('play', 0.3242), ('problems', 0.3176), ('game', 0.2998)]"
133546087,"[('play', 0.3516), ('purgatory', 0.3416), ('game', 0.3314), ('escape', 0.3283), ('death', 0.3276)]"
132773986,"[('refund', 0.3546), ('multiplayer', 0.3426), ('played', 0.2871), ('game', 0.2862), ('patch', 0.2595)]"
132616936,"[('rogue', 0.5606), ('shop', 0.3646), ('game', 0.3161), ('buy', 0.301), ('resolution', 0.2604)]"
132197708,"[('refund', 0.3039), ('windows', 0.2982), ('game', 0.2759), ('start', 0.2651), ('11', 0.2147)]"
133297672,"[('screens', 0.4425), ('wide', 0.3511), ('atmosphere', 0.2944), ('scales', 0.2476), ('touch', 0.212)]"
119554212,"[('games', 0.4401), ('stories', 0.3912), ('game', 0.3575), ('play', 0.2796), ('binging', 0.2496)]"
116825133,"[('automatic', 0.4329), ('days', 0.4158), ('game', 0.3567), ('ten', 0.3046), ('over', 0.2818)]"
101684737,"[('mission', 0.3318), ('disappeared', 0.3115), ('prologue', 0.255), ('inventory', 0.2155), ('issue', 0.1768)]"
101516102,"[('jump', 0.4709), ('blur', 0.3881), ('motion', 0.3408), ('performance', 0.3025), ('game', 0.2755)]"
101503423,"[('nausea', 0.4256), ('graphics', 0.4116), ('dizzy', 0.3414), ('unplayable', 0.3362), ('falling', 0.3307)]"
95754192,"[('adventure', 0.4276), ('crafting', 0.3849), ('fallout', 0.3594), ('craft', 0.3504), ('inventory', 0.3355)]"
95294819,"[('crashing', 0.3354), ('version', 0.3269), ('level', 0.3029), ('final', 0.2454), ('first', 0.2311)]"
95202831,"[('unplayable', 0.4382), ('crash', 0.3555), ('loading', 0.3317), ('load', 0.3047), ('game', 0.3038)]"
94255106,"[('wormhole', 0.5303), ('glitch', 0.5195), ('issues', 0.3551), ('game', 0.2577), ('fixed', 0.2342)]"
93891431,"[('mikhail', 0.3875), ('finishing', 0.3751), ('finished', 0.3251), ('rescue', 0.3046), ('release', 0.2623)]"
93853977,"[('60fps', 0.4052), ('performance', 0.3664), ('stutters', 0.3266), ('potato', 0.2936), ('criticisms', 0.2591)]"
91962408,"[('1440p', 0.5674), ('ultrawide', 0.491), ('5120x1440', 0.446), ('resolution', 0.4406), ('monitor', 0.3742)]"
91656712,"[('crashes', 0.3988), ('subtitles', 0.3695), ('language', 0.3297), ('2021', 0.3088), ('english', 0.2949)]"
91084173,"[('mission', 0.371), ('reload', 0.3418), ('save', 0.3175), ('file', 0.2486), ('changes', 0.1852)]"
91054305,"[('chernobyl', 0.4853), ('game', 0.2396), ('regret', 0.1795), ('me', 0.1441), ('its', 0.1436)]"
90988795,"[('savefile', 0.5215), ('savegame', 0.5102), ('overwrites', 0.3841), ('save', 0.3405), ('deleting', 0.2796)]"
90897167,"[('fallout', 0.4915), ('chernobylite', 0.4665), ('missions', 0.3271), ('quest', 0.3143), ('quests', 0.2979)]"
89456891,"[('glitches', 0.4391), ('corrupted', 0.3774), ('review', 0.3617), ('game', 0.2497), ('save', 0.2308)]"
79609717,"[('saves', 0.4123), ('basement', 0.3928), ('npc', 0.3398), ('stuck', 0.3059), ('auto', 0.2586)]"
79215099,"[('chernobylite', 0.4835), ('game', 0.3516), ('games', 0.3385), ('picnic', 0.2882), ('survival', 0.2705)]"
79080518,"[('chernobylite', 0.4073), ('visions', 0.3372), ('scene', 0.332), ('visuals', 0.3228), ('nuclear', 0.3053)]"
76380786,"[('chernobyl', 0.5866), ('chernobylite', 0.5683), ('igor', 0.4776), ('nuclear', 0.351), ('disaster', 0.3433)]"
75602047,"[('geforce', 0.5475), ('ultra', 0.3489), ('settings', 0.3205), ('game', 0.2329), ('works', 0.1741)]"
74567051,"[('bugs', 0.3968), ('breaking', 0.3058), ('build', 0.2848), ('mission', 0.2665), ('base', 0.2379)]"
74551939,"[('missions', 0.3316), ('game', 0.3231), ('bugs', 0.3052), ('beginning', 0.2757), ('heal', 0.268)]"
71383533,"[('blur', 0.3366), ('motion', 0.2659), ('reviews', 0.2457), ('headache', 0.2447), ('playing', 0.2323)]"
69892201,"[('chernobylite', 0.5084), ('game', 0.3428), ('npc', 0.327), ('fun', 0.2845), ('guns', 0.2411)]"
69012764,"[('apo', 0.334), ('games', 0.3069), ('game', 0.2907), ('chernobyl', 0.253), ('challenging', 0.2356)]"
67631662,"[('scared', 0.311), ('skipping', 0.3103), ('voiced', 0.3043), ('hearing', 0.3022), ('ambient', 0.2937)]"
67139599,"[('polish', 0.6849), ('looks', 0.2692), ('game', 0.2568), ('needs', 0.2208), ('little', 0.1792)]"
66617649,"[('travel', 0.3517), ('time', 0.324), ('game', 0.2886), ('unique', 0.2396), ('very', 0.2315)]"
63578441,"[('medpack', 0.5675), ('crashing', 0.4935), ('game', 0.301), ('bug', 0.2822), ('play', 0.2506)]"
63131968,"[('subtitles', 0.5474), ('language', 0.3425), ('bored', 0.3394), ('playing', 0.3331), ('game', 0.2927)]"
56241846,"[('gameplay', 0.3565), ('exploration', 0.3279), ('metro', 0.32), ('game', 0.2977), ('exodus', 0.2872)]"
55976407,"[('bugs', 0.4646), ('year', 0.3531), ('fixed', 0.2888), ('been', 0.2243), ('nice', 0.1984)]"
55796045,"[('fps', 0.4182), ('ea', 0.3419), ('issues', 0.3142), ('smoothly', 0.3045), ('release', 0.2888)]"
55794896,"[('chernobyl', 0.5827), ('chernoblyte', 0.5084), ('nuclear', 0.358), ('gameplay', 0.343), ('shooter', 0.278)]"
55791211,"[('gameplay', 0.4499), ('begining', 0.4363), ('game', 0.3017), ('imersive', 0.2114), ('is', 0.1941)]"
55790420,"[('chernobyl', 0.5654), ('gameplay', 0.3122), ('metro', 0.2441), ('game', 0.2391), ('skeleton', 0.2085)]"
55786140,"[('kazdej', 0.5764), ('goraco', 0.4755), ('duzo', 0.4501), ('zlotowki', 0.4477), ('polecam', 0.4459)]"
55782680,"[('stealth', 0.3602), ('game', 0.346), ('play', 0.2987), ('pistol', 0.2913), ('bored', 0.2807)]"
55781743,"[('ea', 0.552), ('cl', 0.5084), ('game', 0.3206), ('graphics', 0.287), ('is', 0.169)]"
55778072,"[('chernobyl', 0.62), ('chernobylite', 0.6149), ('chernoblite', 0.5058), ('apocalyptic', 0.3258), ('gameplay', 0.3189)]"
55776446,"[('chernobylite', 0.5297), ('stalker', 0.3669), ('geiger', 0.348), ('stalkers', 0.3208), ('radiation', 0.2965)]"
55765298,"[('stealth', 0.6031), ('missions', 0.3768), ('stalker', 0.3685), ('game', 0.2794), ('games', 0.2649)]"
55754301,"[('shotgun', 0.534), ('aiming', 0.5085), ('firearm', 0.4785), ('weapon', 0.4206), ('sight', 0.3976)]"
55752078,"[('stealth', 0.6445), ('af', 0.2621), ('review', 0.1977), ('broken', 0.1833), ('is', 0.1452)]"
55741884,"[('chernobyl', 0.537), ('chernobylite', 0.5008), ('portalscene', 0.4383), ('game', 0.3239), ('summary', 0.3004)]"
55741598,"[('chinese', 0.6885), ('need', 0.5136)]"
55737231,"[('devs', 0.4), ('dev', 0.3806), ('updates', 0.3577), ('roadmap', 0.2994), ('stealth', 0.2979)]"
55723719,"[('exploration', 0.4377), ('roam', 0.4146), ('mission', 0.3825), ('teleporting', 0.3079), ('map', 0.2983)]"
55710460,"[('crashes', 0.5361), ('dev', 0.3283), ('story', 0.2607), ('game', 0.2565), ('playing', 0.2082)]"
55661501,"[('oliver', 0.4366), ('portal', 0.3443), ('mission', 0.3374), ('missions', 0.3211), ('gfx', 0.2749)]"
55661490,"[('rtx', 0.3662), ('verdict', 0.3391), ('dlss', 0.3329), ('survival', 0.2983), ('hill', 0.2672)]"
55659085,"[('overclocked', 0.4921), ('1060', 0.4111), ('gtx', 0.3769), ('unplayable', 0.3642), ('fps', 0.3476)]"
55657467,"[('portals', 0.3347), ('npcs', 0.3324), ('gtx', 0.3063), ('performance', 0.3022), ('sound', 0.2631)]"
55651421,"[('d3d', 0.3819), ('steam', 0.3219), ('unreal', 0.313), ('refund', 0.3079), ('restarts', 0.3064)]"
55650049,"[('atmosphere', 0.3883), ('voice', 0.3703), ('acting', 0.2818), ('improved', 0.2459), ('creepy', 0.2289)]"
55646978,"[('unplayable', 0.347), ('tarkov', 0.3327), ('metro', 0.3246), ('russian', 0.3244), ('missions', 0.3182)]"
55646905,"[('metro', 0.3044), ('fps', 0.3019), ('suggest', 0.2257), ('enemy', 0.225), ('game', 0.2108)]"
55643971,"[('review', 0.4002), ('fallout', 0.3915), ('ui', 0.3819), ('tutorials', 0.3816), ('improve', 0.3791)]"
55640081,"[('60fps', 0.4968), ('crashing', 0.48), ('graphics', 0.363), ('game', 0.2373), ('low', 0.212)]"
55636927,"[('exploration', 0.4331), ('survival', 0.4214), ('mission', 0.3841), ('explore', 0.3767), ('shooter', 0.3741)]"
55635728,"[('oliver', 0.5192), ('mission', 0.517), ('find', 0.2922), ('stuck', 0.2624), ('minutes', 0.1779)]"
55634911,"[('crashes', 0.3612), ('dd', 0.36), ('game', 0.3428), ('reviews', 0.3273), ('crashed', 0.3025)]"
55634903,"[('premiere', 0.3521), ('mega', 0.3494), ('chernobylite', 0.3266), ('definitely', 0.2422), ('heist', 0.2387)]"
